example_id,text,category
tr_0d65d51d6e,How can I top up my account and which currency can I use?,supported_cards_and_currencies
tr_bd4d96b65f,I'm not recognizing the card payment.,card_payment_not_recognised
tr_5a1767e93b,I used my card to top-up but the money is gone!,topping_up_by_card
tr_a1d7745da1,Can you tell me more info about virtual disposable cards?,get_disposable_virtual_card
tr_dd53fbdd2d,HOW LONG THE CARD VALIDITY,card_not_working
tr_5664d40cf0,What is the closest ATM?,atm_support
tr_2572efd7bf,"I thought I knew my password but I guess I was wrong, what can I do now?",passcode_forgotten
tr_ef23eeaf63,"My top-up was cancelled, could my bank be the problem?",top_up_reverted
tr_027b2cf91b,How do I go about cancelling a transaction?,cancel_transfer
tr_99ae835616,I have been waiting over a week. Is the card still coming?,card_arrival
tr_46d0402367,I paid with my card and ended up being charged a fee.,card_payment_fee_charged
tr_5ee8cee3ff,I'd like to delete my account.,terminate_account
tr_b53ff27d1b,Why am I being charged to transfer funds?,transfer_fee_charged
tr_be884e7771,I want to know about your refund policy.,request_refund
tr_f416cce0dc,How do you check my identity?,verify_my_identity
tr_d06b872977,Why is my exchange rate wrong?,card_payment_wrong_exchange_rate
tr_c922faa9b0,why is top up pending,pending_top_up
tr_4913ac0595,I sent a cheque a few days ago and i noticed that no money has been put on my account. Can you please tell me the situation of my account?,balance_not_updated_after_cheque_or_cash_deposit
tr_a67a4ec240,My account balance doesn't reflect an update I made by cheque yesterday. Is something wrong or is the system slow?,balance_not_updated_after_cheque_or_cash_deposit
tr_6cea0331ee,My passcode was denied.,passcode_forgotten
tr_44f18305ec,Can you tell me the cost of a transfer?,top_up_by_bank_transfer_charge
tr_4a50f40b5a,"I would like open a second card for my daughter, how can you assist me?",getting_spare_card
tr_a71ff679a2,"In my statement, I got a €1 extra fee.",extra_charge_on_statement
tr_c60db46797,How can receive a physical card,order_physical_card
tr_b53f6c16db,It looks like I was charged twice for a single transaction,transaction_charged_twice
tr_fc8d8445c9,Some cash withdrawal that I didn't make showed up in the app.,cash_withdrawal_not_recognised
tr_e3c3150561,Can I top up my account with Google Pay?,apple_pay_or_google_pay
tr_8b9bd4b09c,"While getting cash, I was charged a fee.",cash_withdrawal_charge
tr_0b66261aa9,I have money in a foreign account that I want to send to this account.,transfer_into_account
tr_40e53b266f,can other people use the app to add money to my account,topping_up_by_card
tr_d479e03554,How long does it take for cash withdrawals to hit my account?,pending_cash_withdrawal
tr_8b9b3bfe3b,Why has my card been declined?  whats the deal?,declined_card_payment
tr_9ec09c6070,How long does it take for deliver to the US?,card_delivery_estimate
tr_29099af1d8,What do I have to do to get my virtual card?,getting_virtual_card
tr_c0eab37897,The card is non-functional.,card_not_working
tr_55b61f9268,How come I can't get money at the ATM,declined_cash_withdrawal
tr_4a9c2cc8b1,"Hi, I am experiencing problems while trying to top-up with my card. I have never experienced any problems doing this before. Could you please help me?",top_up_failed
tr_f70b33870e,What is the max top-up?,top_up_limits
tr_95ace2fa25,Please specify any limitations that come along with disposable cards.,disposable_card_limits
tr_1e0f27f853,Can I set my own top-up limit?,top_up_limits
tr_28230a559c,"Hi, I tried topping up for the first time today (I'm a new customer), and the transaction has shown as pending for the last half an hour. Can you fix it?",pending_top_up
tr_f3fafa8928,Please update me on whether you have received the funds for the refund of the large purchase I made recently. I have requested this from the merchant days ago but still haven't got anything.,Refund_not_showing_up
tr_c99d5aa581,What currencies and cards do you support?,supported_cards_and_currencies
tr_b2e5e79b93,What is the process for unlocking the pin?,pin_blocked
tr_b5adff5a45,My transfer has not arrived.,transfer_not_received_by_recipient
tr_17155f2510,Can I use my Apple watch to fill my gas tank?,apple_pay_or_google_pay
tr_e72dc71d8b,There seems to be a couple of payments listed in the app I know weren't made by me. Is there a possibility someone has access to my card? Can you find out what's going on?,card_payment_not_recognised
tr_909aaea5d5,Can I pay more to get it deliver quicker?,card_delivery_estimate
tr_e3ed3735ce,"If I get another card, what kind of fees am I looking at?",getting_spare_card
tr_347b424509,Why was there a fee for my cash withdrawal?,cash_withdrawal_charge
tr_22dffad438,I finished my transfer. I am having an issue with it still pending. It has been a long time and i'm growing impatient,pending_transfer
tr_effeb12fc3,My card rejected a cash withdrawal. Why?,declined_cash_withdrawal
tr_f6d27a40a0,I think I was charged a different exchange rate than what was posted at the time.,wrong_exchange_rate_for_cash_withdrawal
tr_6356c21b6c,I contacted the seller for a direct refund last week but he still hasn't give me my money. What should I do?,Refund_not_showing_up
tr_5341e4a5a4,Can I choose whether I receive a Visa or a Mastercard card?,visa_or_mastercard
tr_4e3cf5518f,is there a charge on withdrawals?,cash_withdrawal_charge
tr_e3025c2461,I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?,declined_transfer
tr_44eb28b344,I have a fee for cash withdrawal,cash_withdrawal_charge
tr_7b7c36dde4,The app is showing a payment I never made.,card_payment_not_recognised
tr_06a85c12f2,Can anyone else top-up for me?,topping_up_by_card
tr_fc73a26d4a,My transfer to my account is missing.,balance_not_updated_after_bank_transfer
tr_13aaf8396f,"I need to set up an account for my daughter, how would I do that?",age_limit
tr_a8546ad5b4,i dont recognize a charge on my card,card_payment_not_recognised
tr_86baf45f09,"i made a payment with my card and was charged a fee, why would you do that",card_payment_fee_charged
tr_61f9150dc7,Do I have to go to an actual bank to change my PIN?,change_pin
tr_aa50adf103,Is there a fee to get an actual card?,order_physical_card
tr_a926a6cc0d,What is the procedure to transfer money to my account?,transfer_into_account
tr_6f2be42f89,I withdraw money abroad but I didn't get the right amount.,wrong_exchange_rate_for_cash_withdrawal
tr_62cc895705,I tried to transfer money to a receiver and they didn't get the right amount. What is going on and who do I contact to help me?,transfer_fee_charged
tr_5b5fbe8dc3,Are there any top-up limits?,top_up_limits
tr_b2909364de,"My new card has arrived, what's the activation procedure?",activate_my_card
tr_6f396bc070,What are the steps I should take to recover my swallowed card?,card_swallowed
tr_b60aa9dc18,How can I go about resetting my passcode?,passcode_forgotten
tr_ca745930ad,I wasn't able to withdraw money at an ATM,declined_cash_withdrawal
tr_0fe1da4f59,What fees are charged for a physical card?,order_physical_card
tr_6c985000f1,Do I pay a fee for SEPA transfers?,top_up_by_bank_transfer_charge
tr_b9b45d8e90,"Hello, I tried to top up with my card, but it didn't work. I just got it a couple days before and it works fine. What's the deal? Can you check into this?",top_up_failed
tr_5c933c6208,My card is expiring soon.,card_about_to_expire
tr_0480b73bfe,What caused my transfer to fail?,failed_transfer
tr_b973819d70,Help me change my PIN.,change_pin
tr_c2bee59887,What if I don't verify my identity?,why_verify_identity
tr_a67cfe900d,Why do you keep declining my payment?I tried several times already with this card and it is just not working.,declined_card_payment
tr_8c7b2eb174,"The ATM charged me an extra fee, Why?",cash_withdrawal_charge
tr_a5c6a320f5,What is identity check?,why_verify_identity
tr_9818187f20,I would like to activate my card.,activate_my_card
tr_57e4235d0e,What are the disposable virtual card limits?,disposable_card_limits
tr_f4f99c36c5,What ATMs can I use this card?,atm_support
tr_690b58af4b,"I have done a transfer within the country a couple days ago, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that several times already.",transfer_not_received_by_recipient
tr_fc46a03399,Top up keeps failing,top_up_failed
tr_19094c46a6,Why couldn't I transfer funds to my beneficiary?,beneficiary_not_allowed
tr_b8feb9525e,When will I be able to see my refund?,Refund_not_showing_up
tr_c90395253d,I need an ATM right now!,atm_support
tr_95d41a2dbc,Is there a reason why my card was declined when I attempted to withdraw money?,declined_cash_withdrawal
tr_7359c65c18,After taking over my card transactions I noticed that was charged twice for a restaurant purchased from earlier this week. Can you please remove one of these transactions from my account since it is not accurate?,transaction_charged_twice
tr_76dc6dcf87,What is the fee to top-up my account,top_up_by_bank_transfer_charge
tr_f951e0524f,I was charged more than once in a single transaction,transaction_charged_twice
tr_f7e839b7d4,Can you please assist on my item that needs to be refunded?,request_refund
tr_a92ef7b1c5,Why haven't I gotten a virtual card yet?,getting_virtual_card
tr_6e4846a3f8,Is it ok for a friend to send me money?,receiving_money
tr_c285d7e82c,What are these disposable virtual cards all about?,get_disposable_virtual_card
tr_f9ad35b91d,I used the ATM to get money out and did not realize I would be charged as much as I was or I would not have done that!,wrong_exchange_rate_for_cash_withdrawal
tr_4fbcdd22d9,A transaction on my card shows as pending.,pending_card_payment
tr_3508e905aa,How often can I top up my account?,top_up_limits
tr_ee08757a9a,ATM only gave me $20 instead of $100,wrong_amount_of_cash_received
tr_7fe6ea9883,Reasons for top up cancellation.,top_up_reverted
tr_c3fca681eb,What is the basis of your exchange rates?,exchange_rate
tr_7479a1940a,Can I top up using cash?,top_up_by_cash_or_cheque
tr_a3ceb530f6,I anticipate getting a Visa card,visa_or_mastercard
tr_3aa0ce4e98,I should have a refund in my statement but I can't see it,Refund_not_showing_up
tr_7cd5224add,How do I know what my PIN is?,get_physical_card
tr_b1b13ab03b,Please can you block the transaction I just sent from my account? It was a payment but I accidently typed in the wrong details and think it might have gone to the wrong place.,cancel_transfer
tr_21a32b344e,Do top-ups have limits?,top_up_limits
tr_a1ce6ff68d,Can I use my card for online payments?,card_acceptance
tr_58145ac6b1,I'm upset because I got charged a ridiculous fee when making an ATM withdrawal over a holiday weekend.  It didn't notify me beforehand either or I wouldn't have ever done it.,wrong_exchange_rate_for_cash_withdrawal
tr_6c73d94b81,"There's a problem - I bought something about a week or two ago but just today the payment somehow came back into my account! I already received the item though, what's going on here?",reverted_card_payment?
tr_c9c0dc206a,Any charges applicable for new card?,contactless_not_working
tr_ab497abe13,"My transfer is pending, why?",pending_transfer
tr_8739b10c2d,Why was I not able to take cash from the ATM?,declined_cash_withdrawal
tr_8abe7049de,There is a cash withdrawl I don't remember.,cash_withdrawal_not_recognised
tr_1ff74e32ab,I am having some difficulty verifying my id.,unable_to_verify_identity
tr_276fb9acd2,Why did you decline my transfer?,declined_transfer
tr_9e22445dc6,"I've use my accounts all the time to manage my payments for my place abroad that I just got. I now see that I suddenly have new fees.I'm a frequent customer, so why are you charging me new fees instead of rewarding me?",transfer_fee_charged
tr_432dd4f77a,"Hello, I wanted to get some more information about ATM Withdraw Fee. I have been withdrawing money for years and notice this charge on my account. I always thought it was no fee since its you guys ATM company that I am withdrawing. Can you please explain?",cash_withdrawal_charge
tr_f1bee4a0c0,Help! I need to transfer something to China.,transfer_timing
tr_cae47838a9,Can I select my card scheme or do you choose it for me?,visa_or_mastercard
tr_609f264890,how soon will my card arrive?,card_delivery_estimate
tr_b47f8457a5,Can I auto top if I'm low on funds?,automatic_top_up
tr_6abaccd77b,There was an extra fee when I paid with the card.,card_payment_fee_charged
tr_6bb99a0fb5,Tell me about verifying top-up,verify_top_up
tr_143d875663,Why has my transfer been declined?,declined_transfer
tr_f531b0dae5,Why does the same transaction appear multiple times?,transaction_charged_twice
tr_2d19d6312a,I would like to link my card to my account.,card_linking
tr_28cdab1f8b,Can you send me more cards for my account?,getting_spare_card
tr_1b11ded608,can i use my mastercard to add money to my account,supported_cards_and_currencies
tr_b6d8e0c431,I want to cancel my card. I think someone else is using it.,compromised_card
tr_bb4e8a28a7,I have a trasnger that is pending and wondered about it.,pending_transfer
tr_4a95788f7c,Can I get a card although I'm not in the UK,country_support
tr_4d46adb78e,Where does the exchange rate stand right now?,exchange_rate
tr_ff7cd1a038,Is topping up with Apple Pay possible?,apple_pay_or_google_pay
tr_18c07cb2b5,I sent a payment to the wrong account number - can that transaction be reversed? I am worried about accidentally giving my money away.,cancel_transfer
tr_2a7e737419,My top up is not showing up in my wallet!,topping_up_by_card
tr_9d6bafdf08,I have a question regarding the PIN of the card?,get_physical_card
tr_69818d3601,My card needs to be topped up.,topping_up_by_card
tr_8188f38672,I need to stop a transaction that I made.,cancel_transfer
tr_00d1ca8605,My disposable virtual card isn't working.,virtual_card_not_working
tr_6a7c44a0c4,Please help me with the activation of the new card.,activate_my_card
tr_dad9e3ae6c,"My friend deposited $100 into my account, but it is not showing up!",balance_not_updated_after_cheque_or_cash_deposit
tr_af5e299958,I don't see the verification code for my card transfer.,verify_top_up
tr_6007483d12,I have a card payment I didn't make,card_payment_not_recognised
tr_bbd206a3f6,Why hasn't my cash arrived from a deposited check?,balance_not_updated_after_cheque_or_cash_deposit
tr_9eac51ca92,"Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money",pending_top_up
tr_0c35f7ffe7,I did not have the right exchange rate applied to my situation of pulling out cash,wrong_exchange_rate_for_cash_withdrawal
tr_0a3be4ea39,Do you offer auto top ups?,automatic_top_up
tr_003a086a16,Does the auto top-up have any limits?,automatic_top_up
tr_67a67b4cf4,What is the length of a transaction completion?,transfer_not_received_by_recipient
tr_5e75014b8a,When should I expect to receive my card?,card_delivery_estimate
tr_608e1197c0,My card is expiring so how fast can I get a new one and how much will it be?,card_about_to_expire
tr_a1194209b7,I am just waiting for the transaction to be completed.,transfer_not_received_by_recipient
tr_98bbdb728d,Why has my top up failed?,top_up_failed
tr_87cfe68623,The cast deposit from a week ago still is not in my account. Why?,balance_not_updated_after_cheque_or_cash_deposit
tr_510279da57,I can't activate my card?,activate_my_card
tr_021161d626,When I got cash I was charged an extra fee!  Explain!,cash_withdrawal_charge
tr_73f6be3808,Why is my contactless not working?,contactless_not_working
tr_70efb1789a,why do you verify the top up,verify_top_up
tr_81985f370b,Why hasn't my transaction completed?,transfer_not_received_by_recipient
tr_bc4315f561,How much extra will I be charged for exchanging foreign currency?,exchange_charge
tr_c935e087c6,I just deposited cash to my account and can't find it!,balance_not_updated_after_cheque_or_cash_deposit
tr_f8755cf1b7,"Why wasn't it obvious that you charge for payments? If you put the fees in an easy to read format, this could have been avoided.",card_payment_fee_charged
tr_9eb8f48af5,What are the reasons to be charged a fee on card payments?,card_payment_fee_charged
tr_1304dbbdba,"You will hear back from us about your verification results in 10 minutes to a one hour timeframe.  If these verification results do fail, please double-check to make sure your images are clear and have no glare or blur; your photos need to be fully readable.  You need to be 18 years of age or older and a resident of Switzerland or the European Economic Area to create an account.",unable_to_verify_identity
tr_716b3ada99,Can I add a card back to the app?,card_linking
tr_178b25c011,What does my daughter need to open an account?,age_limit
tr_dff9d517b5,"What are my options for topping up, automatic and/or manual?",automatic_top_up
tr_d6353d6da9,Can I quickly send a transfer from China?  How long will it take?,transfer_timing
tr_21011b23ab,Can you please assist me in completing a transfer? I'm trying and I keep getting an error. I'm trying to purchase a flat and pay the initial mortgage payment. All I keep getting is an error. Can you find out what's happening here?,failed_transfer
tr_42f4aa7296,Are there charges for using a bank card to top up,top_up_by_card_charge
tr_59b1a8414d,I want a new card,getting_spare_card
tr_15533242df,I made an online purchase and the order has not shown up. Give me my money back.,request_refund
tr_f5425d42d4,how long until a cash withdrawal will show on my account,pending_cash_withdrawal
tr_d8cb09fd55,how should i add money to my card,top_up_by_card_charge
tr_88d45a8b08,My account is locked because I used the wrong pin too many times.  Please help.p,pin_blocked
tr_3475d3dd1d,Can I use my salary for this?,receiving_money
tr_624e860457,Please help me find my top-up verification code,verify_top_up
tr_1125d2d356,Is there a fee that comes with transfers?,transfer_fee_charged
tr_00b17c89de,"I wanted to buy something online yesterday, but I could not because the card got declined on the day of and the following day. What is wrong with the card?",declined_transfer
tr_673585d71c,When will the transaction be done?,transfer_not_received_by_recipient
tr_8a9644c702,What are eligible holding and exchange currencies?,fiat_currency_support
tr_af89d59ce2,Can my children get an account?,age_limit
tr_4d4d9eb52c,Please explain how disposable virtual card work.,get_disposable_virtual_card
tr_3c63a75d91,Is topping up unlimited?,top_up_limits
tr_30a801653d,"I have one of your cards, but I don't know how to link it.",card_linking
tr_f7fee9726f,My card would not work at a shop.,declined_card_payment
tr_4cb74e7d32,Hello. I'm trying to transfer some money to a friend but it keeps getting rejected. can you help me?,failed_transfer
tr_7c31ad7fc5,i entered my pin in wrong and got it frozen. how many tries do i have,declined_cash_withdrawal
tr_1684966ead,Why should I have to prove my identity?,why_verify_identity
tr_aa06adca7d,I don't see the transaction I made to a friend on my account.,transfer_not_received_by_recipient
tr_8e34b723f3,How many years old do I have to be?,age_limit
tr_2151b9e838,I want to terminate my account,terminate_account
tr_974e2846db,Do you accept cheques for top-up?,top_up_by_cash_or_cheque
tr_10da8555c3,My card needs to be activated.,activate_my_card
tr_1332bc122a,"I'd like to make a SEPA transfer to my account, but will I be charged?",top_up_by_bank_transfer_charge
tr_3068a0a126,Why was I charged for transferring money?,transfer_fee_charged
tr_2cfc52ead9,What steps do I need to get another card?,getting_spare_card
tr_5e88fb7633,Someone might be using my card that is not me.,compromised_card
tr_7ba7a01810,Will I be charged for transfers?,transfer_fee_charged
tr_84fccc013d,How do I troubleshoot when contactless doesn't work?,contactless_not_working
tr_a2faad35d3,I was charged twice for an in-store purchase that I thought was declined.  My App says that it's still pending for one of the payments. Please make sure one of the charges is removed.,transaction_charged_twice
tr_b5328d693f,Whats types of currency can I exchange?,exchange_via_app
tr_bf51c8d454,I attempted to deposit a cheque yesterday but the balance isn't showing today. Is it still pending?,balance_not_updated_after_cheque_or_cash_deposit
tr_cc66aec378,I am very upset that i went to use my new card today and it kept getting declined. Why is this happening and what do I do to not have it declined?,declined_card_payment
tr_64b0a564cf,I use my card internationally to manage payments and I just noticed that you are adding additional fees.  Why?  I am a good customer and this has me thinking about leaving.,transfer_fee_charged
tr_d4acd6325f,"I have obtained the salary in GBP, will it need to be configured?",receiving_money
tr_e72aa4f97e,Can I exchange currencies usign this app?,exchange_via_app
tr_0ba48c350d,Why was I charged an additional $1?,extra_charge_on_statement
tr_87b04dc09a,My card payment has had the status of pending forever. What is the issue? It should have gone through at some point.,pending_card_payment
tr_11826094ec,I paid two weeks ago and just got refunded,reverted_card_payment?
tr_a71b6f1b4c,I need to order a new card as my old one will expire soon. Can you tell me how to order a new one?,card_about_to_expire
tr_5e626dc76e,My card hasn't arrived yet. What do I do?,card_arrival
tr_0b636075d7,Which ATMs take the card?,atm_support
tr_a3eaa5e482,Will I be charged for a top off transfer?,top_up_by_bank_transfer_charge
tr_045e6e82d7,What countries can I use my account in?,country_support
tr_6546b186ed,How much money can I withdraw before fees? I noticed a fee on my card but I didn't think I had hit the limit of how much I could withdraw in a month.,cash_withdrawal_charge
tr_893c420ccd,how do i get a pin for my card,get_physical_card
tr_20ee6daf9c,What is the verification code for my top up card?,verify_top_up
tr_31056bd7f3,I still haven't received my card in the mail,card_arrival
tr_ba6be3a139,When will my top up be approved?,pending_top_up
tr_bc251f149a,I can't withdraw any money from my account. Ive tried a couple different ATM machines and both of them wouldn't give me my money. What's going on? Is my account frozen or something?,declined_cash_withdrawal
tr_1c6324ba14,"I'm currently not in possession of my phone, is it still possible to go about things normally without access to the app?",lost_or_stolen_phone
tr_e5552aa682,I did a transfer earlier but see that it failed to go through.,failed_transfer
tr_0dcaa6df03,Why would a card payment be declined?,declined_card_payment
tr_7ecaf42054,My ATM withdrawal is taking forever,pending_cash_withdrawal
tr_547191b1c2,what is the price of a transfer?,top_up_by_bank_transfer_charge
tr_97e1fb4003,"Hi, there is a suspicious payment from my card. I definitely do not know who this is or who could have made this payment.",card_payment_not_recognised
tr_ea2a77b0ea,How do I transfer money from one bank account to another?,transfer_into_account
tr_f06ff15cb3,Please tell me the steps to verify my identity.,verify_my_identity
tr_256a183784,I'm due a refund and it is not on my statement.,Refund_not_showing_up
tr_51a49a3998,Why hasn't my transfer from Europe gone through?,transfer_timing
tr_315b035941,Is it possible to change from USD to GBP with your App?,exchange_via_app
tr_298ac9e704,Is there a minimum age for having an account?,age_limit
tr_f93f8951da,How can I alteration my PIN?,change_pin
tr_738c033287,I made a purchase earlier today but it is still listed as pending- when will it go through?,pending_card_payment
tr_feb7ffa5a0,There's a cash withdrawal I am certain I did not make,cash_withdrawal_not_recognised
tr_d9d5e0ae97,Why did I get charged more for using my card?,card_payment_fee_charged
tr_c67b8a4c58,My app statement shows I took out cash from an ATM but I did not. What can I do?,cash_withdrawal_not_recognised
tr_9746f75df2,Please help!  The app won't let me cancel a money transfer.  I accidently sent money to an account that wasn't mine.  I need this cancelled immediately.,cancel_transfer
tr_f1433c1ed5,What steps do I need to take for the identity checking process?,verify_my_identity
tr_406e2384d6,Is there a fee for physical cards?,order_physical_card
tr_7160f56aff,What happens if the ATM doesn't give the right amount of money?,wrong_amount_of_cash_received
tr_f38104ed75,I just looked over my statement and I don't recognize the name of a card payment.,card_payment_not_recognised
tr_228861eb72,Why didn't my top up work?,top_up_reverted
tr_4d532b3a6e,When will my payment go through?,pending_card_payment
tr_7eb94f6084,Why is my purchase showing as pending?,pending_card_payment
tr_20eb9d61c8,"I just took some cash out of a cash machine in Heathrow airport because I wanted to buy some new sunglasses for my holiday but you've added a fee to the withdrawal, what is this?",cash_withdrawal_charge
tr_0487ac9461,Someone stole my card!,lost_or_stolen_card
tr_6a4bb25135,Is there a topping up limit?,top_up_limits
tr_0d71be9470,"I requested a refund from a merchant a while ago, and upon repeatedly checking my statement, the merchant has yet to refund me my money.  I don't know what's going on, or why the money is getting into my account--could you please help?",Refund_not_showing_up
tr_12def39af2,"I did a transfer to my account, but it hasn't shown up",balance_not_updated_after_bank_transfer
tr_fabaf4342c,What currency can I use to add money?,supported_cards_and_currencies
tr_d22266fcb8,Why is my payment still pending?,pending_card_payment
tr_9101950447,I can't find the auto-top up option.,automatic_top_up
tr_01850ff895,This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,declined_cash_withdrawal
tr_131aa226e7,Do you accept credit cards from the US,supported_cards_and_currencies
tr_0f708edd6a,Can I have a third card?,getting_spare_card
tr_3a4ea6f469,What are disposable virtual cards?,get_disposable_virtual_card
tr_d4b9c373f0,"My transfer was wrong, are you able to stop it before it goes through please?",cancel_transfer
tr_db7ece0c26,How long does it take for me to get my pin,get_physical_card
tr_a9935283da,"I used my card to top up, but now I don't see the money in my account.",topping_up_by_card
tr_722827429c,"Hey I want to get a refund on something I bought, but not sure how to go about it. Can you please just cancel the payment, I have not received the item yet.",request_refund
tr_1d4116e6b8,There is a direct debit charge on my account that is not mine.,direct_debit_payment_not_recognised
tr_982be45269,i haven't received my order and want a refund,request_refund
tr_41df4c8447,"Hello, I was just went through my recent transaction on my bank account and I just noticed that I was charged twice at a place that ate at this past week. Can I get that second transaction removed from my account?",transaction_charged_twice
tr_c1870aef88,where has my transferred money gone?,transfer_not_received_by_recipient
tr_b68b15a484,Where do I order a disposable virtual card?,get_disposable_virtual_card
tr_9baf3f74f5,I need money put into this account from another one.,transfer_into_account
tr_adcf774307,Is it possible to get both a Visa and a Mastercard?,visa_or_mastercard
tr_b26eee7c64,My top-up has been reverted and I would like to know why.,top_up_reverted
tr_0c97c77b9d,Can I dispute a debit payment that I am seeing that I didn't make from a couple of months ago?,direct_debit_payment_not_recognised
tr_25ab52062b,Which type of card will I receive?,visa_or_mastercard
tr_e14263565c,I'm interested in getting a card. How does one go about doing that?,order_physical_card
tr_2eb4d66f76,Why can't I see my funds after I topped up?,pending_top_up
tr_c8e8a95391,What do I need to do to perform identity checks?,verify_my_identity
tr_7289b1aa40,Can I use my account even though the identity verification has not passed yet?,why_verify_identity
tr_225c78f756,Can I put my found card back into the app on my phone?,card_linking
tr_a0f01c1ad7,I need clarity on why my card is not working.,card_not_working
tr_456c8adfbb,How can I trade currencies with this app?,exchange_via_app
tr_98c9deff8a,How do I deactivate my account?,terminate_account
tr_d412c997b5,I need to change my last name on my account because I just got married.,edit_personal_details
tr_f8f9dd9a84,Why can't my beneficiary access my account?,beneficiary_not_allowed
tr_ffb82d1a83,I didn't see any reason why my transfer was declined. What gives?,declined_transfer
tr_c416411fb7,Why couldn't I get cash from an ATM?,declined_cash_withdrawal
tr_9ab6d59d5a,"how long does it take to transfer money, my retailer is waiting",transfer_not_received_by_recipient
tr_64ca187621,One of my transactions needs to be canceled.,cancel_transfer
tr_657bd87bc4,I didn't make this payment and it's on my app,card_payment_not_recognised
tr_95fe78cac5,Can a friend top up my account,topping_up_by_card
